,track_id,track,track_popularity,data_added,top_year,album_name,album_release_year,genre,artists_name,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
34,6qc34bnVOyqGDPni8H5W0U,Amazed,71.0,2020-08-07T08:16:37Z,2000.0,Amazed,1999,[],Lonestar,240866.0,0.561,0.543,-8.498,0.0324,0.26,0.0,0.124,0.243,139.803
35,2TTYIwTM2iLC1YOyHuhRMt,Lucky,71.0,2020-08-07T08:16:37Z,2000.0,Lucky,2000-05-16,[],Britney Spears,206226.0,0.765,0.791,-5.707,0.0317,0.262,0.000154,0.0669,0.966,95.026
36,6Wnlq1Pu3I0BajLvxn05Vr,Try Again,70.0,2020-08-07T08:16:37Z,2000.0,Try Again,2001-07-07,[],Aaliyah,284640.0,0.794,0.662,-4.913,0.249,0.0789,0.0,0.0937,0.683,93.053
37,0eKyHwckh9vQb8ncZ2DXCs,With Arms Wide Open,70.0,2020-08-07T08:16:37Z,2000.0,With Arms Wide Open,1999-01-01,[],Creed,274800.0,0.41,0.539,-8.412,0.0302,0.00425,0.00089,0.117,0.141,138.852
38,7f1Dmr246cJ9uQYdbplTbh,He Wasn't Man Enough,69.0,2020-08-07T08:16:37Z,2000.0,He Wasn't Man Enough,2000,[],Toni Braxton,261933.0,0.739,0.947,-1.916,0.0411,0.00916,3.14e-05,0.326,0.766,88.009
39,1m2xMsxbtxv21Brome189p,I Wanna Know,69.0,2020-08-07T08:16:37Z,2000.0,I Wanna Know,2000-04-18,[],Joe,296693.0,0.725,0.487,-5.959,0.0368,0.26,1.09e-05,0.431,0.599,136.086
40,46n2EGFnPC3tzWCN1Aqe26,This I Promise You,69.0,2020-08-07T08:16:37Z,2000.0,This I Promise You,2000-03-21,[],*NSYNC,284760.0,0.55,0.587,-6.279,0.0329,0.354,0.0,0.128,0.466,165.975
41,7GHKA8GIMcND6c5nN1sFnD,Sexbomb,68.0,2020-10-02T13:59:09Z,2000.0,Sexbomb,1999,[],"Tom Jones,Mousse T.",211893.0,0.801,0.876,-3.94,0.0446,0.144,1.38e-05,0.104,0.932,122.979
42,1H5tvpoApNDxvxDexoaAUo,Who Let The Dogs Out,68.0,2020-08-07T08:16:37Z,2000.0,Who Let The Dogs Out,2000,[],Baha Men,198400.0,0.869,0.887,-4.505,0.0993,0.0605,0.0,0.148,0.784,129.221
43,1VuBmEauSZywQVtqbxNqka,Beautiful Day,68.0,2020-08-07T08:16:37Z,2000.0,Beautiful Day,2000-01-01,[],U2,246400.0,0.539,0.926,-6.495,0.0499,0.014,0.00136,0.36,0.454,136.279
44,3mNecsYFb6LQg7822DPXCP,Absolutely (Story of a Girl) - Radio Mix,68.0,2020-08-07T08:16:37Z,2000.0,Absolutely (Story of a Girl) - Radio Mix,2000-05-16,[],Nine Days,189333.0,0.481,0.94,-5.204,0.066,0.000891,0.0,0.0939,0.66,96.493
45,5PMKzsUsTpZZGsCcJBuhP2,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",67.0,2020-08-07T08:16:37Z,2000.0,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",1999-05-29,[],"Donell Jones,Lisa ""Left Eye"" Lopes",243733.0,0.854,0.543,-6.166,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032
46,0ZqveF2rEFlz2oqF2xrriP,The Riddle,67.0,2020-10-02T13:30:31Z,2000.0,The Riddle,1999,[],Gigi D'Agostino,285426.0,0.74,0.876,-6.87,0.0369,0.0173,0.00152,0.0785,0.825,127.002
47,69XUpOpjzDKcfdxqZebGiI,"Independent Women, Pt. 1",67.0,2020-10-02T12:48:52Z,2000.0,"Independent Women, Pt. 1",2001-05-01,[],Destiny's Child,221133.0,0.73,0.602,-3.782,0.206,0.362,3.69e-06,0.169,0.927,97.954
